"Site_ID","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonium","Acanthostracion quadricornis","Acanthurus bahianus","Acanthurus chirurgus","Acanthurus coeruleus","Aluterus scriptus","Anisotremus virginicus","Aulostomus maculatus","Azurina cyanea","Azurina multilineata","Balistes vetula","Bodianus rufus","Calamus calamus","Calamus penna","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthigaster rostrata","Caranx bartholomaei","Caranx latus","Caranx ruber","Carcharhinus perezii","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon capistratus","Chaetodon ocellatus","Chaetodon striatus","Clepticus parrae","Corvula batabana","Coryphopterus dicrus","Diodon hystrix","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus striatus","Equetus punctatus","Eucinostomus gula","Ginglymostoma cirratum","Gramma loreto","Gymnothorax funebris","Gymnothorax moringa","Haemulon aurolineatum","Haemulon carbonarium","Haemulon flavolineatum","Haemulon plumierii","Haemulon sciurus","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres radiatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypanus americanus","Hypoplectrus puella","Kyphosus sectatrix","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus apodus","Lutjanus griseus","Lutjanus mahogoni","Lutjanus synagris","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Mulloidichthys martinicus","Mycteroperca interstitialis","Mycteroperca venenosa","Myripristis jacobus","Ocyurus chrysurus","Opistognathus aurifrons","Pomacanthus arcuatus","Pomacanthus paru","Pseudupeneus maculatus","Pterois volitans","Scarus iseri","Scarus taeniopterus","Scarus vetula","Scorpaena plumieri","Serranus tabacarius","Serranus tigrinus","Serranus tortugarum","Sparisoma aurofrenatum","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Stegastes adustus","Stegastes diencaeus","Stegastes leucostictus","Stegastes partitus","Stegastes planifrons","Stegastes variabilis","Synodus intermedius","Thalassoma bifasciatum","Fish_abundance","Fish_richness","Fish_density","Year","Site"
"2017_pre-Moonscape",19,0,0,0,0,0,12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,12,0,0,0,7,0,0,0,6,7,0,0,0,1,0,0,0,90,2,0,0,0,0,0,8,0,0,0,13,0,0,1,7,0,0,3,5,0,0,3,0,0,1,4,0,0,0,0,0,30,0,0,0,0,245,30,0.816666666666667,"2017_pre","Moonscape"
"2017_pre-Proselyte Reef",62,0,0,0,0,0,18,0,0,0,110,110,0,6,0,0,0,0,0,0,0,0,1,1,2,3,12,0,0,9,0,0,0,0,3,1,0,0,0,0,0,0,0,2,12,0,0,0,2,2,1,0,18,2,0,0,0,0,1,0,0,12,0,2,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,7,16,0,0,3,0,0,0,11,0,0,0,0,0,0,2,0,0,1,441,33,1.47,"2017_pre","Proselyte Reef"
"2017_pre-Shark Hotel",8,0,0,0,0,0,9,0,0,0,160,135,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,10,0,2,0,0,0,1,1,0,0,0,0,0,0,2,52,2,0,0,0,0,0,0,3,2,0,0,2,4,0,0,0,0,0,0,3,0,0,0,0,0,104,0,0,0,0,519,27,1.73,"2017_pre","Shark Hotel"
"2018-Fish Bowl",3,0,0,0,0,0,13,1,0,0,50,68,3,0,0,0,0,0,0,0,20,0,0,1,1,3,2,0,0,0,0,0,0,1,8,2,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,100,0,0,0,0,0,2,1,0,0,0,7,0,0,0,7,0,0,2,16,0,0,0,0,0,0,17,0,13,0,0,0,1,0,0,0,0,354,29,1.18,"2018","Fish Bowl"
"2018-Frenchman Reef",0,0,0,1,0,0,53,2,0,1,115,112,0,0,0,0,0,0,0,0,0,0,2,0,0,3,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,32,0,0,0,18,0,0,0,6,4,0,0,0,0,0,1,0,50,0,0,0,0,0,1,0,0,0,0,3,0,0,0,7,0,0,4,5,0,0,2,0,0,0,6,0,1,0,0,0,7,0,0,0,1,457,30,1.52333333333333,"2018","Frenchman Reef"
"2018-Long Bay Reef",27,0,0,0,0,2,11,2,0,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,9,4,0,0,0,1,2,0,0,0,0,0,0,0,1,10,27,1,0,1,2,0,0,0,8,3,0,0,0,0,0,3,0,22,0,0,0,0,0,100,0,0,1,0,9,0,0,0,3,0,0,1,10,0,0,0,0,0,0,19,0,7,0,0,0,0,0,0,0,2,805,33,2.68333333333333,"2018","Long Bay Reef"
"2018-Mikes Mazes",50,0,1,0,0,0,35,2,0,0,2,32,6,0,2,0,0,0,0,0,0,0,1,0,4,7,6,0,4,3,0,0,0,3,2,0,0,0,0,0,0,0,0,3,8,3,0,1,3,0,2,0,2,1,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,1,0,0,8,0,0,0,5,0,0,7,3,0,0,0,0,0,4,14,0,1,0,0,0,0,0,0,0,0,233,36,0.776666666666667,"2018","Mikes Mazes"
"2018-Moonscape",106,0,2,0,0,0,33,0,0,0,250,220,1,0,0,0,0,0,0,0,0,0,0,0,3,1,14,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,13,45,5,0,0,6,0,1,1,3,2,0,0,0,0,0,0,0,17,0,0,0,0,2,1,0,0,0,0,7,0,2,2,10,0,0,1,8,0,0,5,0,0,0,10,0,2,0,0,0,11,0,0,0,0,787,33,2.62333333333333,"2018","Moonscape"
"2018-Proselyte Reef",130,0,0,0,0,0,12,0,0,0,105,185,0,2,0,0,0,0,0,0,0,8,0,3,3,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,14,11,0,0,5,0,0,0,8,1,0,0,0,0,0,0,0,14,0,0,0,0,0,1,2,0,0,0,7,0,0,0,4,0,0,3,8,0,0,2,0,0,0,23,0,4,0,0,0,1,2,0,0,3,577,31,1.92333333333333,"2018","Proselyte Reef"
"2018-Shark Hotel",15,0,1,1,0,0,20,2,0,0,100,122,0,1,0,0,0,0,0,0,0,0,0,0,7,3,18,1,1,1,0,0,0,0,5,2,1,0,1,0,0,0,0,1,11,2,0,0,8,0,1,1,5,1,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,5,12,0,0,1,0,0,1,13,0,0,0,0,0,50,0,0,0,0,424,38,1.41333333333333,"2018","Shark Hotel"
