"Year","Site","Acanthuridae_Biomass","Labridae_Biomass","Lutjanidae_Biomass","Serranidae_Biomass","Epinephelidae_Biomass","Carcharhinidae_Biomass","Dasyatidae_Biomass","Scaridae_Biomass"
"2016","Fish Bowl",1273.95332494843,243.47800971746,88.7710324258976,0,416.512708960245,2480.77916666667,0,1676.98117171694
"2016","Frenchman Reef",2257.51479394743,224.223630627408,0,0,1559.70970899668,0,782.189099370122,1056.38099898771
"2016","Long Bay Reef",1647.53776256148,590.325291688032,0,15.8412210665469,186.965127061564,0,0,451.30316188237
"2016","Mikes Mazes",3858.32245794865,235.121194732001,146.580358525767,0,403.707481534333,0,0,1498.33588145487
"2016","Moonscape",1558.82056114063,444.260465475559,1935.22986282306,0.652690543892134,416.328674738616,0,1089.05633937553,326.86765060313
"2016","Proselyte Reef",1895.90491154554,260.592637610909,83.7145320234211,21.5926894570909,114.673439313517,0,0,1599.75081098794
"2016","Shark Hotel",843.512497521367,237.540149880734,211.385146631834,0,370.686492344664,3098.43333333333,0,909.519641703342
"2017_post","Fish Bowl",303.000568386734,0,1187.03130270288,0,0,0,0,702.413119845495
"2017_post","Frenchman Reef",148.622864309328,18.3000589526366,3187.4084549746,0.652690543892134,25.8740953589513,0,0,257.402279583073
"2017_post","Long Bay Reef",194.963600615237,4.10247651079466,259.004807696917,0,175.718750602811,0,0,161.310659460417
"2017_post","Mikes Mazes",347.186710696416,16.1195941223545,2636.98954407625,16.1945170928181,1392.94687655827,0,0,1747.02775979653
"2017_post","Moonscape",823.745475386517,52.4100861049912,2430.03852868764,1.9580716316764,377.099617322166,0,32087.7763238188,657.063361210783
"2017_post","Proselyte Reef",409.423561291998,56.1965696246101,6909.50143687016,0,1115.76911034556,9033.33333333333,0,990.803550945584
"2017_post","Shark Hotel",146.05431094961,0,2310.83287012057,0.652690543892134,221.318026584964,9033.33333333333,0,636.675299411456
"2017_pre","Fish Bowl",107.22998033838,0,709.582978102061,11.4490352724376,184.591006098896,0,0,1015.25102458263
"2017_pre","Frenchman Reef",141.599002731911,56.1008066697312,867.849473577713,0,269.457858044461,0,0,547.867675825954
"2017_pre","Long Bay Reef",306.399362634715,85.9966225756483,1661.81875142548,59.3798960069998,351.000818304251,0,0,341.149860367967
"2017_pre","Mikes Mazes",97.4818003076186,0,318.774989316264,6.05086290816485,204.197786556102,3098.43333333333,0,668.07709122702
"2017_pre","Moonscape",99.8819641555191,54.931217043912,3121.84225054364,16.1945170928181,67.5073344199635,0,0,327.240605674838
"2017_pre","Proselyte Reef",175.467240553714,345.425283778566,348.401901807275,6.70355345205698,640.939412396756,6585.3,0,1035.26658845113
"2017_pre","Shark Hotel",134.627054314111,4.10247651079466,0,0,74.7350982625036,9033.33333333333,2178.11267875106,120.007257645317
"2018","Fish Bowl",197.066491455786,0,3954.66695433319,0,979.651596613539,30487.5,0,1301.74371775323
"2018","Frenchman Reef",516.653541630379,65.6628642965781,1687.11820960658,6.05086290816485,176.492875918415,0,0,627.0396293021
"2018","Long Bay Reef",158.181789955615,120.220656203125,2258.50927297744,0,413.561957644352,0,0,2389.83143580121
"2018","Mikes Mazes",341.186301076665,16.1887861165295,268.578668529961,0,476.680016811707,0,0,730.092532647592
"2018","Moonscape",321.689941015141,60.6662118994475,1339.29567166282,105.775201047103,98.3663340866827,0,0,712.728370143578
"2018","Proselyte Reef",116.978160369142,318.642109402743,871.207343039106,10.7963447285454,329.852580131131,91462.5,0,2384.33899969308
"2018","Shark Hotel",593.557789931901,145.805303127116,121.167290986261,18.576885534945,649.451078716008,0,0,991.259950374224
"2019","Fish Bowl",400.186230709224,213.184725936782,974.436935841652,61.8267080857242,1844.45899802715,0,0,2408.4600578185
"2019","Frenchman Reef",794.574638344791,193.571230688636,3531.07419326398,23.9750578992177,142.058629693597,0,0,2343.19166791942
"2019","Long Bay Reef",388.335159837914,0,3197.20115034809,29.3732302634904,1106.67921794808,0,0,3025.83519934779
"2019","Mikes Mazes",536.149901691902,536.353340274253,2390.08177989142,23.9750578992177,2002.27258014471,39520.8333333333,0,2732.83232072328
"2019","Moonscape",662.993382288402,21.9984460094473,2328.70309059135,34.7714026277631,54.2572130751259,0,2444.15192341107,1800.24825598785
"2019","Proselyte Reef",222.360674590968,0,1413.84694509373,0,897.146417705631,0,0,1048.16047568115
"2019","Shark Hotel",204.711780645999,36.922288597152,1791.74845198941,37.15377106989,2552.17742003623,18066.6666666667,0,2581.75973053184
"2020","Fish Bowl",699.003379452973,22.1853349665267,1506.66594306458,26.9908618213636,204.40487828639,0,0,1708.06669499295
"2020","Frenchman Reef",507.0991992318,61.53714766192,0,18.576885534945,41.6332390610122,387.304166666667,0,2401.84634118808
"2020","Mikes Mazes",363.040976702732,0,296.320871481952,0,150.147665211264,0,0,1097.63845410777
"2020","Moonscape",511.286432202889,0,3516.91142264765,0,95.890452136138,0,537.470198110666,364.583100613278
"2020","Proselyte Reef",831.135339852736,7.26591835375933,2992.55174798346,5.8742148950292,1294.6294224196,0,0,1714.87168370414
"2020","Shark Hotel",331.438121045903,118.622066851421,1740.90904780707,0,274.169439158911,9033.33333333333,0,1768.29554018133
"2023","Fish Bowl",1150.15808586775,512.068692813889,170.22748614455,0,345.042995885119,19846.2333333333,0,722.110456132737
"2023","Frenchman Reef",560.463078518706,131.233106349747,40.7176903161278,0,51.7481907179027,0,0,2236.9063818163
"2023","Long Bay Reef",419.158599073317,205.934376228133,0,0,110.870492621958,0,0,59.7548384302114
"2023","Mikes Mazes",292.445400922856,0,71.2433437469706,5.39817236427271,231.752457339195,0,0,800.599790292909
"2023","Moonscape",341.852026998661,90.5999879761688,6783.84959910529,0,434.721274716721,0,0,918.964350038034
"2023","Proselyte Reef",48.7409001538093,173.900523014156,1435.96306011609,10.7963447285454,421.787981154199,0,0,419.98447043785
"2023","Shark Hotel",226.537536907894,49.229718129536,398.365929351635,1.30538108778427,1294.62119237847,0,0,1079.23070586825
