Project:;;;;;Analysis date:;;
Dataset name:;;;;;Analysis by:;;
Location:;;Lat:;Long:;;Codefile:;C:\CPCe_41_inst\shallow_coral_codes_41.txt;
File/sheetname:;D:\CPCe Excel Files\POST I 2017\PRE I 2017 SH.xlsx:Data summary;;;;;;
;;;;;;;
TRANSECT NAME;PRE I 2017 SH;;;;;;
DEAD CORAL WITH ALGAE (DCA);6;6;6;#DIV/0!;#DIV/0!;0;0
CORALLINE ALGAE (CA);32;32;32;#DIV/0!;#DIV/0!;0;0
DISEASED CORALS (DC);0;0;0;#DIV/0!;#DIV/0!;0;1
SAND, PAVEMENT, RUBBLE (SPR);10;10;10;#DIV/0!;#DIV/0!;0;0
UNKNOWNS (U);0;0;0;#DIV/0!;#DIV/0!;0;1
TAPE, WAND, SHADOW (TWS);0;0;0;#DIV/0!;#DIV/0!;;
TOTAL TRANSECT POINTS;1875;1875;;;;;
;;;;;;;
SUBCATEGORIES (occurring in transect);;SUMS;MEAN;STD. DEV.;STD. ERROR;SW INDEX;SIMPSON (1-D)
CORAL (C);;;;;;2,48;0,89
Acropora cervicornis (AC);1;1;1;#DIV/0!;#DIV/0!;0,04;0
Acropora palmata (AP);0;0;0;#DIV/0!;#DIV/0!;0;0
Acropora prolifera (APR);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia agaricites (AA);1;1;1;#DIV/0!;#DIV/0!;0,04;0
Agaricia fragilis (AF);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia grahamae (AG);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia lamarcki (AL);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia tenuifolia (AT);0;0;0;#DIV/0!;#DIV/0!;0;0
Agaricia undata (AU);0;0;0;#DIV/0!;#DIV/0!;0;0
Colpophyllia breviserialis (CB);0;0;0;#DIV/0!;#DIV/0!;0;0
Colpophyllia natans (CN);1;1;1;#DIV/0!;#DIV/0!;0,04;0
Coral (general) (CORAL);0;0;0;#DIV/0!;#DIV/0!;0;0
Coral juvenile (CORJU);0;0;0;#DIV/0!;#DIV/0!;0;0
Dendrogyra cylindrus (DCY);0;0;0;#DIV/0!;#DIV/0!;0;0
Dichocoenia stellaris (DST);5;5;5;#DIV/0!;#DIV/0!;0,14;0
Dichocoenia stokesi (DSO);3;3;3;#DIV/0!;#DIV/0!;0,1;0
Diploria clivosa (DC);1;1;1;#DIV/0!;#DIV/0!;0,04;0
Diploria labyrinthiformis (DL);6;6;6;#DIV/0!;#DIV/0!;0,16;0
Diploria strigosa (DS);3;3;3;#DIV/0!;#DIV/0!;0,1;0
Eusmilia fastigiata (EF);0;0;0;#DIV/0!;#DIV/0!;0;0
Favia fragum (FF);0;0;0;#DIV/0!;#DIV/0!;0;0
Isophyllia sinuosa (IS);0;0;0;#DIV/0!;#DIV/0!;0;0
Leptoseris cucullata (LC);0;0;0;#DIV/0!;#DIV/0!;0;0
Madracis decactis (MD);2;2;2;#DIV/0!;#DIV/0!;0,07;0
Madracis mirabilis (MM);0;0;0;#DIV/0!;#DIV/0!;0;0
Manicina areolata (MAR);0;0;0;#DIV/0!;#DIV/0!;0;0
Meandrina meandrites (MME);4;4;4;#DIV/0!;#DIV/0!;0,12;0
Millipora alcicornis (MILA);8;8;8;#DIV/0!;#DIV/0!;0,19;0,01
Millipora complanata (MILC);24;24;24;#DIV/0!;#DIV/0!;0,33;0,05
Millipora squarrosa (MILS);0;0;0;#DIV/0!;#DIV/0!;0;0
Montastraea annularis (MA);0;0;0;#DIV/0!;#DIV/0!;0;0
Montastraea cavernosa (MC);11;11;11;#DIV/0!;#DIV/0!;0,23;0,01
Montastrea faveolata (MFAV);1;1;1;#DIV/0!;#DIV/0!;0,04;0
Montastrea franksi (MFRN);18;18;18;#DIV/0!;#DIV/0!;0,29;0,03
Mussa angulosa (MAN);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia aliciae (MAL);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia danaana (MDA);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia ferox (MF);0;0;0;#DIV/0!;#DIV/0!;0;0
Mycetophyllia lamarckiana (ML);0;0;0;#DIV/0!;#DIV/0!;0;0
Oculina diffusa (OD);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites astreoides (PA);2;2;2;#DIV/0!;#DIV/0!;0,07;0
Porites branneri (PB);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites divaricata (PD);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites furcata (PF);0;0;0;#DIV/0!;#DIV/0!;0;0
Porites porites (PP);0;0;0;#DIV/0!;#DIV/0!;0;0
Scolymia cubensis (SC);0;0;0;#DIV/0!;#DIV/0!;0;0
Scolymia lacera (SL);0;0;0;#DIV/0!;#DIV/0!;0;0
Siderastrea radians (SR);4;4;4;#DIV/0!;#DIV/0!;0,12;0
Siderastrea siderea (SS);15;15;15;#DIV/0!;#DIV/0!;0,27;0,02
Solenastrea bournoni (SB);3;3;3;#DIV/0!;#DIV/0!;0,1;0
Solenastrea hyades (SH);0;0;0;#DIV/0!;#DIV/0!;0;0
Stephanocoenia michelinii (SM);0;0;0;#DIV/0!;#DIV/0!;0;0
Tubastraea aurea (TA);0;0;0;#DIV/0!;#DIV/0!;0;0
GORGONIANS (G);;;;;;0,03;0,01
Briareum (BRI);0;0;0;#DIV/0!;#DIV/0!;0;0
Erythropodium (ERY);2;2;2;#DIV/0!;#DIV/0!;0,03;0
Eunicea (EUN);0;0;0;#DIV/0!;#DIV/0!;0;0
Gorgonian (GORG);389;389;389;#DIV/0!;#DIV/0!;0,01;0,99
Iciligorgia (ICIL);0;0;0;#DIV/0!;#DIV/0!;0;0
Muricea (MUR);0;0;0;#DIV/0!;#DIV/0!;0;0
Muriceopsis (MOPS);0;0;0;#DIV/0!;#DIV/0!;0;0
Plexaura (PAURA);0;0;0;#DIV/0!;#DIV/0!;0;0
Plexaurella (PRELA);0;0;0;#DIV/0!;#DIV/0!;0;0
Pseudoplexaura (PSDP);0;0;0;#DIV/0!;#DIV/0!;0;0
Pseudopterogorgia (PSPT);0;0;0;#DIV/0!;#DIV/0!;0;0
Pterogorgia (PTER);0;0;0;#DIV/0!;#DIV/0!;0;0
SPONGES (S);;;;;;0;0
Sponge (SPO);373;373;373;#DIV/0!;#DIV/0!;0;1
ZOANTHIDS (Z);;;;;;0;0
Palythoa sp. (PAL);0;0;0;#DIV/0!;#DIV/0!;0;0
Zoanthid (ZO);7;7;7;#DIV/0!;#DIV/0!;0;1
MACROALGAE (MA);;;;;;1,12;0,64
Amphiroa (AMP);0;0;0;#DIV/0!;#DIV/0!;0;0
Dictyota (DICT);410;410;410;#DIV/0!;#DIV/0!;0,36;0,19
Halimeda (HALI);0;0;0;#DIV/0!;#DIV/0!;0;0
Liagora (LIAG);2;2;2;#DIV/0!;#DIV/0!;0,01;0
Lobophora (LOBO);147;147;147;#DIV/0!;#DIV/0!;0,29;0,02
Macroalgae (MACA);2;2;2;#DIV/0!;#DIV/0!;0,01;0
Padina (PAD);0;0;0;#DIV/0!;#DIV/0!;0;0
