"","2016","2017_post","2017_pre","2018","2019","2020","2023"
"Mean_Herbivorous_Biomass","3392.19 ± 1560.126","1747.304 ± 1637.539","1111.8 ± 460.08","2410.658 ± 951.678","3658.103 ± 1259.733","3471.869 ± 1891.75","2094.695 ± 972.845"
"Mean_Invertivorous_Biomass","1635.8 ± 1556.146","7891.51 ± 11659.941","1891.045 ± 864.673","1901.154 ± 873.206","4325.342 ± 1782.812","3691.131 ± 3486.113","2489.509 ± 2768.264"
"Mean_Omnivorous_Biomass","714.571 ± 694.782","589.892 ± 800.331","542.73 ± 601.052","1251.437 ± 2698.551","1487.893 ± 1433.369","3153.507 ± 4609.314","911.358 ± 1166.935"
"Mean_Piscivorous_Biomass","1770.984 ± 1489.743","13523.133 ± 14668.032","4769.637 ± 2774.08","27157.152 ± 40389.703","20598.199 ± 10965.665","6034.613 ± 5195.972","5502.301 ± 7290.287"
