"Year","Month","Day","Location","Site","Latitude","Longitude","Depth_m","TimeStart","Sechhi_Horizontal_m","Sechhi_Vertical_m","Protection","Site_ID","Fish_observer","SST","DHW","dist_to_coast"
"2019","August","22","St Maarten","Frenchman Reef",18.01775,-63.09485,"7.4","11:36:00","13",">8","NA","2019-Frenchman Reef","TB",29.23,0,711
"2019","August","23","St Maarten","Proselyte Reef",17.9896333333333,-63.05875,"14.4","11:25:00","36",">16","Marine Park","2019-Proselyte Reef","TB",29.14,0,2490
"2019","August","27","St Maarten","Mikes Mazes",17.9916166666667,-63.05635,"11.3","10:14:00","30",">14","Marine Park","2019-Mikes Mazes","TB",29.11,0,2139
"2020","November","24","St Maarten","Moonscape",18.0163166666667,-63.0937666666667,"10.2","12:18:00","NA","NA","NA","2020-Moonscape","TB",28.18,2.86,807
"2020","November","24","St Maarten","Frenchman Reef",18.01775,-63.09485,"7.6","13:24:00","NA","NA","NA","2020-Frenchman Reef","TB",28.18,2.86,711
"2020","November","26","St Maarten","Mikes Mazes",17.9916166666667,-63.05635,"11.3","11:45:00","NA","NA","Marine Park","2020-Mikes Mazes","TB",28.12,2.54,2139
"2020","November","26","St Maarten","Proselyte Reef",17.9896333333333,-63.05875,"13.5","12:56:00","NA","NA","Marine Park","2020-Proselyte Reef","TB",28.12,2.54,2490
"2020","November","27","St Maarten","Fish Bowl",17.9882333333333,-63.0512166666667,"13","10:44:00","NA","NA","Marine Park","2020-Fish Bowl","TB",28.17,2.54,2178
"2020","November","27","St Maarten","Shark Hotel",17.9889333333333,-63.0532833333333,"13","12:10:00","NA","NA","Marine Park","2020-Shark Hotel","TB",28.17,2.54,2203
"2021","NA","NA","St Maarten","Moonscape",18.0163166666667,-63.0937666666667,"NA","NA","NA","NA","NA","2021-Moonscape","NA",NA,NA,NA
"2021","NA","NA","St Maarten","Fish Bowl",17.9882333333333,-63.0512166666667,"NA","NA","NA","NA","Marine Park","2021-Fish Bowl","NA",NA,NA,NA
"2021","NA","NA","St Maarten","Shark Hotel",17.9889333333333,-63.0532833333333,"NA","NA","NA","NA","Marine Park","2021-Shark Hotel","NA",NA,NA,NA
"2021","NA","NA","St Maarten","Long Bay Reef",18.0427666666667,-63.1421833333333,"NA","NA","NA","NA","NA","2021-Long Bay Reef","NA",NA,NA,NA
"2021","NA","NA","St Maarten","Frenchman Reef",18.01775,-63.09485,"NA","NA","NA","NA","NA","2021-Frenchman Reef","NA",NA,NA,NA
"2021","NA","NA","St Maarten","Proselyte Reef",17.9896333333333,-63.05875,"NA","NA","NA","NA","Marine Park","2021-Proselyte Reef","NA",NA,NA,NA
"2021","NA","NA","St Maarten","Mikes Mazes",17.9916166666667,-63.05635,"NA","NA","NA","NA","Marine Park","2021-Mikes Mazes","NA",NA,NA,NA
"2022","NA","NA","St Maarten","Moonscape",18.0163166666667,-63.0937666666667,"NA","NA","NA","NA","NA","2022-Moonscape","NA",NA,NA,NA
"2022","NA","NA","St Maarten","Fish Bowl",17.9882333333333,-63.0512166666667,"NA","NA","NA","NA","Marine Park","2022-Fish Bowl","NA",NA,NA,NA
"2022","NA","NA","St Maarten","Shark Hotel",17.9889333333333,-63.0532833333333,"NA","NA","NA","NA","Marine Park","2022-Shark Hotel","NA",NA,NA,NA
"2022","NA","NA","St Maarten","Long Bay Reef",18.0427666666667,-63.1421833333333,"NA","NA","NA","NA","NA","2022-Long Bay Reef","NA",NA,NA,NA
"2022","NA","NA","St Maarten","Frenchman Reef",18.01775,-63.09485,"NA","NA","NA","NA","NA","2022-Frenchman Reef","NA",NA,NA,NA
"2022","NA","NA","St Maarten","Proselyte Reef",17.9896333333333,-63.05875,"NA","NA","NA","NA","Marine Park","2022-Proselyte Reef","NA",NA,NA,NA
"2022","NA","NA","St Maarten","Mikes Mazes",17.9916166666667,-63.05635,"NA","NA","NA","NA","Marine Park","2022-Mikes Mazes","NA",NA,NA,NA
"2023","May","16","St Maarten","Frenchman Reef",18.01775,-63.09485,"7.5","NA","NA","NA","NA","2023-Frenchman Reef","BM",28.06,0,711
"2023","August","23","St Maarten","Long Bay Reef",18.0427666666667,-63.1421833333333,"14.1","10:52:00","NA","NA","NA","2023-Long Bay Reef","ZP",29.29,3.51,1117
"2023","August","25","St Maarten","Fish Bowl",17.9882333333333,-63.0512166666667,"15","12:45:00","NA","NA","Marine Park","2023-Fish Bowl","LM",29.43,3.51,2178
"2023","September","14","St Maarten","Shark Hotel",17.9889333333333,-63.0532833333333,"13.3","09:31:00",">30","NA","Marine Park","2023-Shark Hotel","TB",29.95,7.79,2203
"2023","September","14","St Maarten","Moonscape",18.0163166666667,-63.0937666666667,"10.7","11:21:00","NA","NA","NA","2023-Moonscape","TB",29.93,7.77,807
"2023","September","21","St Maarten","Proselyte Reef",17.9896333333333,-63.05875,"14.2","09:50:00",">30","NA","Marine Park","2023-Proselyte Reef","TB",30.3,9.63,2490
"2023","September","21","St Maarten","Mikes Mazes",17.9916166666667,-63.05635,"11.3","11:10:00",">30","NA","Marine Park","2023-Mikes Mazes","TB",30.3,9.63,2139
