"","2016","2017_pre","2017_post","2018","2019","2020","2023"
"Mean_Macroalgae_height","1.133 ± 1.434","1.298 ± 1.092","0.933 ± 1.243","1.56 ± 1.195","1.926 ± 1.424","1.517 ± 0.972","2.047 ± 1.283"
"Mean_Turf_height","1.131 ± 2.708","3.842 ± 3.062","4.79 ± 2.843","6.195 ± 3.727","6.895 ± 3.375","5.478 ± 2.725","4.739 ± 3.424"
