"","2016","2017_pre","2017_post","2018","2019","2020","2023"
"Mean_Recruit_size","2.127 ± 0.962","2.185 ± 1.061","2.079 ± 1.019","1.691 ± 0.896","2.298 ± 1.643","1.757 ± 0.88","1.852 ± 1.107"
"Mean_Recruit_abundance","9.143 ± 3.485","13.571 ± 5.827","12 ± 6.658","9.286 ± 4.112","7.714 ± 2.563","12 ± 6.812","3.143 ± 2.795"
"Mean_Recruit_density","9.752 ± 3.717","14.476 ± 6.215","12.8 ± 7.102","9.905 ± 4.386","8.229 ± 2.734","12.8 ± 7.266","3.352 ± 2.981"
