Project:;;;;;Analysis date:;;
Dataset name:;;;;;Analysis by:;;
Location:;;Lat:;Long:;;Codefile:;C:\CPCe_41_inst\shallow_coral_codes_41.txt;
File/sheetname:;D:\CPCe Excel Files\2016\2016 FB.xlsx:Data summary;;;;;;
;;;;;;;
TRANSECT NAME;2016 FB;;;;;;
Leptoseris cucullata (LC);0;;0;#DIV/0!;#DIV/0!;;
Madracis decactis (MD);0;;0;#DIV/0!;#DIV/0!;;
Madracis mirabilis (MM);0;;0;#DIV/0!;#DIV/0!;;
Manicina areolata (MAR);0;;0;#DIV/0!;#DIV/0!;;
Meandrina meandrites (MME);0.11;;0,11;#DIV/0!;#DIV/0!;;
Millipora alcicornis (MILA);0.37;;0,37;#DIV/0!;#DIV/0!;;
Millipora complanata (MILC);1.71;;1,71;#DIV/0!;#DIV/0!;;
Millipora squarrosa (MILS);0;;0;#DIV/0!;#DIV/0!;;
Montastraea annularis (MA);0.05;;0,05;#DIV/0!;#DIV/0!;;
Montastraea cavernosa (MC);0.11;;0,11;#DIV/0!;#DIV/0!;;
Montastrea faveolata (MFAV);0.27;;0,27;#DIV/0!;#DIV/0!;;
Montastrea franksi (MFRN);0.21;;0,21;#DIV/0!;#DIV/0!;;
Mussa angulosa (MAN);0;;0;#DIV/0!;#DIV/0!;;
Mycetophyllia aliciae (MAL);0;;0;#DIV/0!;#DIV/0!;;
Mycetophyllia danaana (MDA);0;;0;#DIV/0!;#DIV/0!;;
Mycetophyllia ferox (MF);0;;0;#DIV/0!;#DIV/0!;;
Mycetophyllia lamarckiana (ML);0;;0;#DIV/0!;#DIV/0!;;
Oculina diffusa (OD);0;;0;#DIV/0!;#DIV/0!;;
Porites astreoides (PA);0.64;;0,64;#DIV/0!;#DIV/0!;;
Porites branneri (PB);0;;0;#DIV/0!;#DIV/0!;;
Porites divaricata (PD);0;;0;#DIV/0!;#DIV/0!;;
Porites furcata (PF);0;;0;#DIV/0!;#DIV/0!;;
Porites porites (PP);0;;0;#DIV/0!;#DIV/0!;;
Scolymia cubensis (SC);0;;0;#DIV/0!;#DIV/0!;;
Scolymia lacera (SL);0;;0;#DIV/0!;#DIV/0!;;
Siderastrea radians (SR);0.05;;0,05;#DIV/0!;#DIV/0!;;
Siderastrea siderea (SS);0.37;;0,37;#DIV/0!;#DIV/0!;;
Solenastrea bournoni (SB);0;;0;#DIV/0!;#DIV/0!;;
Solenastrea hyades (SH);0;;0;#DIV/0!;#DIV/0!;;
Stephanocoenia michelinii (SM);0;;0;#DIV/0!;#DIV/0!;;
Tubastraea aurea (TA);0;;0;#DIV/0!;#DIV/0!;;
GORGONIANS (G);;;;;;;
Briareum (BRI);0;;0;#DIV/0!;#DIV/0!;;
Erythropodium (ERY);0;;0;#DIV/0!;#DIV/0!;;
Eunicea (EUN);0;;0;#DIV/0!;#DIV/0!;;
Gorgonian (GORG);34.06;;34,06;#DIV/0!;#DIV/0!;;
Iciligorgia (ICIL);0;;0;#DIV/0!;#DIV/0!;;
Muricea (MUR);0;;0;#DIV/0!;#DIV/0!;;
Muriceopsis (MOPS);0;;0;#DIV/0!;#DIV/0!;;
Plexaura (PAURA);0;;0;#DIV/0!;#DIV/0!;;
Plexaurella (PRELA);0;;0;#DIV/0!;#DIV/0!;;
Pseudoplexaura (PSDP);0;;0;#DIV/0!;#DIV/0!;;
Pseudopterogorgia (PSPT);0;;0;#DIV/0!;#DIV/0!;;
Pterogorgia (PTER);0;;0;#DIV/0!;#DIV/0!;;
SPONGES (S);;;;;;;
Sponge (SPO);10.04;;10,04;#DIV/0!;#DIV/0!;;
ZOANTHIDS (Z);;;;;;;
Palythoa sp. (PAL);0;;0;#DIV/0!;#DIV/0!;;
Zoanthid (ZO);1.17;;1,17;#DIV/0!;#DIV/0!;;
MACROALGAE (MA);;;;;;;
Amphiroa (AMP);0;;0;#DIV/0!;#DIV/0!;;
Dictyota (DICT);24.99;;24,99;#DIV/0!;#DIV/0!;;
Halimeda (HALI);0;;0;#DIV/0!;#DIV/0!;;
Liagora (LIAG);0;;0;#DIV/0!;#DIV/0!;;
Lobophora (LOBO);2.67;;2,67;#DIV/0!;#DIV/0!;;
Macroalgae (MACA);0.11;;0,11;#DIV/0!;#DIV/0!;;
Padina (PAD);0;;0;#DIV/0!;#DIV/0!;;
Peyssonnelid (PEY);0.27;;0,27;#DIV/0!;#DIV/0!;;
Porolithon (POR);0;;0;#DIV/0!;#DIV/0!;;
Sargassum (SARG);0;;0;#DIV/0!;#DIV/0!;;
Schizothrix (SCHIZ);0;;0;#DIV/0!;#DIV/0!;;
Stypopodium (STY);0;;0;#DIV/0!;#DIV/0!;;
Turbinaria (TURB);0;;0;#DIV/0!;#DIV/0!;;
Turf (TURF);17.46;;17,46;#DIV/0!;#DIV/0!;;
Wrangelia (WRAN);0;;0;#DIV/0!;#DIV/0!;;
OTHER LIVE (OL);;;;;;;
Ascidian (ASC);0;;0;#DIV/0!;#DIV/0!;;
Cyanobacteria (CYAN);0.37;;0,37;#DIV/0!;#DIV/0!;;
Halophylla (HALPH);0;;0;#DIV/0!;#DIV/0!;;
Other (O);0;;0;#DIV/0!;#DIV/0!;;
