"Site_ID","Number of frames","CORAL","GORGONIANS","SPONGES","ZOANTHIDS","MACROALGAE","OTHER LIVE","DEAD CORAL WITH ALGAE","CORALLINE ALGAE","DISEASED CORALS","SAND, PAVEMENT, RUBBLE","UNKNOWNS","Acropora cervicornis","Acropora palmata","Acropora prolifera","Agaricia agaricites","Agaricia fragilis","Agaricia grahamae","Agaricia lamarcki","Agaricia tenuifolia","Agaricia undata","Colpophyllia breviserialis","Colpophyllia natans","Coral","Coral juvenile","Dendrogyra cylindrus","Dichocoenia stellaris","Dichocoenia stokesi","Diploria clivosa","Diploria labyrinthiformis","Pseudodiploria strigosa","Eusmilia fastigiata","Favia fragum","Isophyllia sinuosa","Leptoseris cucullata","Madracis decactis","Madracis mirabilis","Manicina areolata","Meandrina meandrites","Millepora alcicornis","Millepora complanata","Millepora squarrosa","Montastraea annularis","Montastraea cavernosa","Orbicella faveolata","Montastrea franksi","Mussa angulosa","Mycetophyllia aliciae","Mycetophyllia danaana","Mycetophyllia ferox","Mycetophyllia lamarckiana","Oculina diffusa","Porites astreoides","Porites branneri","Porites divaricata","Porites furcata","Porites porites","Scolymia cubensis","Scolymia lacera","Siderastrea radians","Siderastrea siderea","Solenastrea bournoni","Solenastrea hyades","Stephanocoenia intersepta","Tubastraea aurea","Briareum","Erythropodium","Eunicea","Gorgonian","Iciligorgia","Muricea","Muriceopsis","Plexaura","Plexaurella","Pseudoplexaura","Pseudopterogorgia","Pterogorgia","Sponge","Palythoa","Zoanthid","Amphiroa","Dictyota","Halimeda","Liagora","Lobophora","Macroalgae","Padina","Peyssonnelid","Porolithon","Sargassum","Schizothrix","Stypopodium","Turbinaria","Turf","Wrangelia","Ascidian","Cyanobacteria","Halophylla","Other","Tunicate","Dead coral with algae","Dead gorgonian","Old dead coral","Recently dead coral","Coralline algae","Diseased coral","Pavement","Rubble","Sand","Unknown","Aspergillus","Black Band Disease","Bleached coral point","Other disease","Plague, Type II","White Band Disease","Yellow Blotch Disease"
"2017_post-Mikes Mazes",75,5.97,14.08,12.21,3.73,47.36,0.53,0.64,13.97,0,1.49,0,0,0.37,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.43,0.21,0,0,0,0,0.05,0,0,0,0.27,1.01,0,0,0.48,0.43,0.91,0,0,0,0,0,0,0.96,0,0,0,0,0,0.05,0,0.32,0.11,0,0,0,0,0.16,0,13.92,0,0,0,0,0,0,0,0,12.21,0,3.73,0,3.95,0,0,0.11,0,0,0.16,0.05,0,0,0,0,43.09,0,0,0.53,0,0,0,0.64,0,0,0,13.97,0,0,1.23,0.27,0,0,0,0.11,0,0,0,0
"2017_post-Moonscape",75,2.19,0.11,3.84,0,82.88,0.16,0.37,0.48,0,9.97,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.16,0,0.05,0.32,0,0.05,0,0,0.16,0,0,0,0,0,0,0,0.21,0.11,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,3.84,0,0,0,18.03,0.48,0,0,0.11,0,0.48,0,0,0,0,0,63.79,0,0,0,0,0.16,0,0.27,0,0.11,0,0.48,0,0.64,0.59,8.75,0,0,0,0.27,0,0,0,0
"2017_post-Proselyte Reef",75,5.98,8.97,16.55,0.53,52.7,0.59,0.27,9.34,0,5.02,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0.16,0.27,0,0,0,0,0,0,0,0,0.37,3.26,0,0,0.11,0.11,0.05,0,0,0,0,0.11,0,0.64,0,0,0,0,0,0,0.05,0.59,0.11,0,0,0,0,0,0,8.97,0,0,0,0,0,0,0,0,16.55,0,0.53,0,7.9,0,0,0.21,0,0,0.11,0,0,0,0,0,44.47,0,0,0.53,0,0.05,0,0.27,0,0,0,9.34,0,0,1.66,3.36,0.05,0,0,0.21,0,0,0,0
"2017_post-Shark Hotel",75,3.31,11.79,11.68,0.21,62.83,0.43,0.27,8.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.16,0,0.27,0.32,0,0,0,0,0.11,0,0,0,0,0.75,0,0,0.11,0,0.27,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0.75,0.05,0,0,0,0,0,0,11.79,0,0,0,0,0,0,0,0,11.68,0,0.21,0,10.77,0,0,0.05,0.05,0,0.05,0.27,0,0,0,0,51.63,0,0,0.43,0,0,0,0.27,0,0,0,8.75,0,0,0.21,0.53,0,0,0,0.32,0,0,0,0
"2017_pre-Fish Bowl",76,4.85,20.32,18.08,0.48,50.35,0.59,0.37,3.25,0,1.71,0,0,0,0,0.11,0.05,0,0,0,0,0,0,0,0,0,0.05,0.21,0,0.53,0.96,0,0,0,0,0,0,0,0,0.27,0.91,0,0,0.37,0.21,0.21,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0.37,0.16,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0,18.08,0,0.48,0,17.92,0.05,0,5.97,0.32,0.11,0.69,0,0,0,0,0,25.28,0,0,0.53,0,0,0.05,0.37,0,0,0,3.25,0,0,0.21,1.49,0,0,0,0.43,0,0,0,0
"2017_pre-Frenchman Reef",75,1.76,4.27,9.92,0,81.12,0.27,0,1.12,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.11,0.32,0,0,0,0,0,0,0,0,0,0.11,0,0,0.11,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,9.92,0,0,0,20.85,3.04,0.05,0,0.05,0,0.11,0,0,0,0,0,57.01,0,0,0.27,0,0,0,0,0,0,0,1.12,0,0,0,1.55,0,0,0,0.11,0,0,0,0
"2017_pre-Long Bay Reef",75,4.96,1.97,13.6,0,59.63,18.4,0.05,0.21,0,1.17,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.48,0.59,0,0,0,0,0,0,0,0,0.05,0,0,0,0.59,1.17,0.64,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.05,0.27,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,13.6,0,0,0,25.81,0.64,0.32,5.33,0.05,0,1.81,0,0,0,0,0,25.65,0,0,17.81,0.59,0,0,0.05,0,0,0,0.21,0,0,0.11,1.07,0,0,0,0.43,0,0,0,0
"2017_pre-Mikes Mazes",75,13.71,23.79,12.48,3.04,40.59,0,0.21,5.44,0,0.75,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.16,0,0.05,0,0,0,0,0,0,0.43,5.6,0,0,0.59,0.64,0.59,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0.32,0.21,0,0,0,0,0,0.11,0,23.68,0,0,0,0,0,0,0,0,12.48,0,3.04,0,20.59,0,0.05,0.32,0,0,0.53,0.37,0,0,0,0,18.72,0,0,0,0,0,0,0.21,0,0,0,5.44,0,0,0.27,0.48,0,0,0,0.43,0,0,0,0
"2017_pre-Moonscape",75,4.75,1.28,7.36,0,80.21,2.4,0.75,0.32,0,2.93,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0.21,0,0.16,1.12,0,0,0,0,0,0,0.05,0.27,0.05,0,0,0,0.16,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0.16,1.76,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,7.36,0,0,0,27.15,5.81,0.05,0,0,0,0.32,0,0,0,0,0,46.88,0,0,1.81,0.59,0,0,0.75,0,0,0,0.32,0,0.85,0,2.08,0,0,0,0.59,0,0,0,0
"PRE 2017-Proselyte Reef",75,6.88,11.84,16.85,0.32,54.72,0.48,0.05,5.33,0,3.52,0,0,0.05,0,0.27,0,0,0,0,0.05,0,0,0,0.05,0.27,0,0,0,0.16,0.32,0,0,0,0,0.05,0.05,0,0.11,0.48,2.88,0,0,0.05,0,0.11,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0.11,0.69,0.05,0,0,0.16,0,0,0,11.84,0,0,0,0,0,0,0,0,16.85,0,0.32,0,23.79,0,0.11,2.45,0,0.05,0.85,0,0,0,0,0,27.41,0.05,0,0.43,0,0,0.05,0.05,0,0,0,5.33,0,0,1.76,1.76,0,0,0,0.16,0,0,0,0
"2017_pre-Shark Hotel",75,6.03,20.85,19.89,0.37,50.24,0.05,0.32,1.71,0,0.53,0,0.05,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0.27,0.16,0.05,0.32,0.16,0,0,0,0,0.11,0,0,0.21,0.43,1.28,0,0,0.59,0.05,0.96,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.21,0.8,0.16,0,0,0,0,0.11,0,20.75,0,0,0,0,0,0,0,0,19.89,0,0.37,0,21.87,0,0.11,7.84,0.11,0,1.01,0,0,0,0,0,19.31,0,0,0.05,0,0,0,0.32,0,0,0,1.71,0,0,0,0.53,0,0,0,0.32,0,0,0,0
