"CORAL","GORGONIANS","SPONGES","ZOANTHIDS","MACROALGAE","OTHER LIVE","DEAD CORAL WITH ALGAE","CORALLINE ALGAE","DISEASED CORALS","SAND, PAVEMENT, RUBBLE","UNKNOWNS","Bleaching_frequency","Disease_frequency","Year","Site"
1.72151898734177,3.0379746835443,11.9493670886076,0.151898734177215,82.379746835443,0,0.20253164556962,0.0506329113924051,0,0.506329113924051,0,0,0,"2020","Frenchman Reef"
5.95121951219512,15.5121951219512,11.5121951219512,2.19512195121951,62.7317073170732,0,0.0487804878048781,0,0,2.04878048780488,0,0.024390243902439,0,"2020","Mikes Mazes"
1.4025974025974,0.155844155844156,9.55844155844156,0,79.1168831168831,0,0.519480519480519,0,0,9.19480519480519,0,0.025974025974026,0,"2020","Moonscape"
4,9.2987012987013,20.5194805194805,0.25974025974026,61.5064935064935,0,0.051948051948052,0,0,4.36363636363636,0,0.012987012987013,0,"2020","Proselyte Reef"
2.81481481481481,12.4938271604938,30.1234567901235,0.444444444444444,51.2592592592593,0,0.395061728395062,0,0,2.46913580246914,0,0,0,"2020","Shark Hotel"
2.43478260869565,11.9420289855072,24.695652173913,0.289855072463768,47.1884057971015,0,0.347826086956522,0,0,13.1014492753623,0,0.0144927536231884,0,"2023","Fish Bowl"
0.853333333333333,0.373333333333333,9.6,0.0533333333333333,77.0666666666667,0.0533333333333333,0.213333333333333,1.22666666666667,0,7.68,0,0.0133333333333333,0,"2023","Frenchman Reef"
0.702702702702703,0.756756756756757,14.972972972973,0,73.945945945946,0,0.378378378378378,0.108108108108108,0,7.83783783783784,0.0540540540540541,0,0,"2023","Long Bay Reef"
6.17647058823529,14.1176470588235,16.5294117647059,2.94117647058824,57,0,0.470588235294118,0.588235294117647,0,2.17647058823529,0,0.25,0.0147058823529412,"2023","Mikes Mazes"
1.22666666666667,0.16,6.98666666666667,0,78.9333333333333,0,0.0533333333333333,0,0,12.64,0,0.04,0,"2023","Moonscape"
3.71014492753623,6.95652173913043,15.0144927536232,0.0579710144927536,64.6376811594203,0,0.115942028985507,0,0,9.5072463768116,0,0.072463768115942,0,"2023","Proselyte Reef"
2.82666666666667,6.93333333333333,13.3333333333333,0.213333333333333,76.2133333333333,0,0.0533333333333333,0,0,0.426666666666667,0,0.173333333333333,0,"2023","Shark Hotel"
